File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape1_306,703.2,3,2240.077002,3,431.0404416,300,175.8,246.8837826,784793989.1,0.184960938,0.2,0.2,0.509765625,0.556640625,0.891601563,0.488085938,855.078125,0.396,7.5,114.2578125,0.3,0.3,0.3,0.3,8.87890625,12,6.0546875,12.9765625,22.984375,20,25,0.939804688,2.79296875,3.69140625,3.824902598,1861.457816,1513.527642,35309.27573,48567.77788,69.06680585
Shape1_392,1399.85,3,4256.966248,3,646.5341397,300,279.97,393.3506554,1366158848,0.243945313,0.2,0.2,0.582421875,0.494921875,0.796679688,0.334570313,852.734375,0.305,7.5,79.8046875,0.3,0.3,0.3,0.3,8.90234375,12.5,7.6328125,11.9609375,16.140625,20,25,0.924570313,2.55078125,4.49609375,2.900204816,3504.285587,3885.663765,56610.78446,90649.19904,64.75636607
Shape1_356,1277.12,3,5036.143923,3,831.1192225,300,319.28,300.8716333,1483389247,0.185742188,0.2,0.2,0.570703125,0.401953125,0.795507813,0.382617188,906.640625,0.319,7.5,109.1015625,0.3,0.3,0.3,0.3,8.14453125,10.16666667,9.3359375,10.1328125,17.296875,20,25,0.933710938,4.24609375,2.86328125,4.219520217,1865.906974,3799.374043,68440.4003,101722.9169,79.65024189
Shape1_355,1182.2,3,4514.065192,3,744.383798,300,295.55,351.7240555,1422657793,0.248242188,0.2,0.2,0.445703125,0.526953125,0.833007813,0.570117188,981.640625,0.345,7.5,116.6015625,0.3,0.3,0.3,0.3,8.39453125,10.5,7.8359375,12.6328125,22.296875,20,25,0.971210938,3.99609375,3.61328125,3.33663201,2863.107212,2789.364049,50631.44001,75066.26908,63.49709785
Shape1_337,1199.3,3,4448.185711,3,577.7336628,300,599.65,154.9067052,1519629935,0.249804688,0.2,0.2,0.573828125,0.423828125,0.753320313,0.443554688,997.265625,0.347,7.5,95.0390625,0.3,0.3,0.3,0.3,8.36328125,12.33333333,8.5234375,13.6953125,20.671875,20,25,0.947773438,2.77734375,2.95703125,3.437807384,1719.933666,3938.709314,54237.90078,88740.99438,73.99399181
Shape1_321,3414.95,3,10638.36835,3,1148.889793,300,682.99,494.6394,3234705547,0.196679688,0.2,0.2,0.592578125,0.405078125,0.781445313,0.546679688,866.015625,0.259,7.5,108.1640625,0.3,0.3,0.3,0.3,7.42578125,11.5,8.1484375,13.0703125,18.421875,20,25,0.968398438,4.08984375,3.76953125,1.627964562,7709.973122,9940.165855,89211.18863,176287.0415,51.62214425
Shape1_305,2868.68,3,11289.8264,3,1239.889465,300,717.17,447.7225396,2977600846,0.209960938,0.2,0.2,0.559765625,0.506640625,0.966601563,0.413085938,905.078125,0.296,7.5,99.2578125,0.3,0.3,0.3,0.3,7.37890625,10.5,7.0546875,11.9765625,20.984375,20,25,0.954804688,3.29296875,3.19140625,3.47255874,2971.219225,7020.865036,122206.3637,183709.1414,64.03960757
Shape1_377,3013.48,3,9905.640243,3,853.2289266,300,753.37,593.3048827,3059514276,0.176367188,0.2,0.2,0.501953125,0.558203125,0.936132813,0.598242188,987.890625,0.317,7.5,103.4765625,0.3,0.3,0.3,0.3,8.20703125,11,8.2109375,11.2578125,23.046875,20,25,0.924335938,2.80859375,3.30078125,2.157432637,7314.661287,8898.536926,101279.9187,179231.1021,59.47645318
Shape1_376,1017.9,3,3854.899269,3,664.1921553,300,339.3,176.7237257,1181717084,0.226367188,0.2,0.2,0.401953125,0.458203125,0.786132813,0.448242188,887.890625,0.335,7.5,73.4765625,0.3,0.3,0.3,0.3,7.20703125,10,6.2109375,13.2578125,19.046875,20,25,0.954335938,3.80859375,4.30078125,4.175847366,1044.804585,2048.970544,49949.05562,67898.03759,66.70403536
Shape1_346,995.12,3,3006.740153,3,334.660095,300,497.56,207.7909227,1124775856,0.181054688,0.2,0.2,0.561328125,0.586328125,0.847070313,0.387304688,959.765625,0.382,7.5,61.2890625,0.3,0.3,0.3,0.3,8.23828125,11.16666667,9.7734375,12.9453125,23.171875,20,25,0.951523438,4.15234375,4.08203125,2.928242428,1914.572253,3435.635962,37200.67229,67296.84332,67.62686241
Shape1_345,1498.38,3,5651.115197,3,683.9009171,300,499.46,331.7477613,1515876521,0.206054688,0.2,0.2,0.511328125,0.536328125,0.772070313,0.462304688,809.765625,0.367,7.5,76.2890625,0.3,0.3,0.3,0.3,7.73828125,12.66666667,8.7734375,11.9453125,21.171875,20,25,0.936523438,3.65234375,2.58203125,3.983719798,2471.461742,4659.579088,77678.30943,118496.2222,79.08289102
Shape1_332,457.68,3,1397.175755,3,257.7168657,300,228.84,111.7593384,578220184.4,0.240429688,0.2,0.2,0.505078125,0.567578125,0.912695313,0.527929688,903.515625,0.519,7.5,119.4140625,0.3,0.3,0.3,0.3,8.30078125,10.5,9.8984375,12.8203125,18.921875,20,25,0.942148438,4.21484375,3.39453125,4.790497701,910.8746518,1492.063654,27010.26259,40080.74019,87.57372005
Shape1_322,1204.76,3,4656.680519,3,687.6871196,300,301.19,387.0899095,1337257753,0.221679688,0.2,0.2,0.542578125,0.455078125,0.706445313,0.321679688,916.015625,0.373,7.5,93.1640625,0.3,0.3,0.3,0.3,8.92578125,11,9.1484375,10.0703125,16.421875,20,25,0.923398438,3.58984375,3.26953125,4.88554436,2131.945859,3658.946139,74295.47684,106347.845,88.2730544
Shape1_312,891.75,3,2784.976865,3,483.5673554,300,297.25,183.5446649,1085093773,0.191210938,0.2,0.2,0.422265625,0.544140625,0.835351563,0.319335938,992.578125,0.429,7.5,118.0078125,0.3,0.3,0.3,0.3,7.50390625,12.33333333,9.3046875,11.7265625,17.484375,20,25,0.928554688,3.16796875,4.31640625,4.186152664,1306.584963,3112.73884,47145.09906,74412.6913,83.44568691
Shape1_365,1199.64,3,3605.94989,3,502.3305854,300,399.88,266.5589833,1351328442,0.216992188,0.2,0.2,0.408203125,0.439453125,0.926757813,0.363867188,994.140625,0.349,7.5,90.3515625,0.3,0.3,0.3,0.3,8.76953125,12.16666667,7.0859375,10.3828125,20.796875,20,25,0.952460938,4.37109375,3.73828125,3.262268271,2083.534107,3184.890197,50483.67497,78383.31309,65.33902928
Shape1_323,1390.02,3,4677.743955,3,524.1950597,300,695.01,185.9746503,1453639137,0.171679688,0.2,0.2,0.442578125,0.555078125,0.856445313,0.471679688,816.015625,0.381,7.5,63.1640625,0.3,0.3,0.3,0.3,7.92578125,10,7.1484375,12.0703125,20.421875,20,25,0.953398438,2.58984375,4.26953125,3.849090094,1450.626819,3404.009286,64080.87869,93900.00004,67.55298488
Shape1_315,952.88,3,3690.54712,3,478.7709733,300,476.44,212.2043463,1114990593,0.216210938,0.2,0.2,0.472265625,0.594140625,0.760351563,0.544335938,842.578125,0.336,7.5,103.0078125,0.3,0.3,0.3,0.3,8.00390625,10.16666667,8.3046875,12.7265625,19.484375,20,25,0.973554688,2.66796875,2.81640625,3.83406693,1688.831411,2512.14232,47183.24186,69189.60858,72.61104083
Shape1_393,2006.19,3,7103.952227,3,910.082422,300,668.73,198.8643401,2280880254,0.193945313,0.2,0.2,0.482421875,0.594921875,0.946679688,0.484570313,952.734375,0.333,7.5,109.8046875,0.3,0.3,0.3,0.3,7.90234375,11.5,9.6328125,13.9609375,20.140625,20,25,0.954570313,3.55078125,3.49609375,2.609997064,2872.302622,6951.584834,69735.54273,130631.4259,65.11418454
Shape1_369,1846.15,3,5953.113752,3,949.5001753,300,369.23,316.4110811,1805197948,0.170117188,0.2,0.2,0.564453125,0.495703125,0.954882813,0.316992188,800.390625,0.296,7.5,84.7265625,0.3,0.3,0.3,0.3,7.83203125,12.16666667,8.4609375,13.0078125,22.546875,20,25,0.928085938,3.68359375,3.17578125,2.284543547,3544.733227,5992.202856,61765.4194,114257.1164,61.88940033
Shape1_368,1081.11,3,4026.713117,3,550.1914352,300,360.37,327.1286995,1228410779,0.220117188,0.2,0.2,0.464453125,0.595703125,0.804882813,0.466992188,900.390625,0.383,7.5,114.7265625,0.3,0.3,0.3,0.3,8.83203125,11.16666667,6.4609375,11.0078125,18.546875,20,25,0.958085938,2.68359375,4.17578125,4.947814431,2036.605255,2286.468657,63759.82897,83789.2944,77.50302412
Shape1_343,2468.05,3,7611.426711,3,886.934294,300,493.61,497.2444037,2216977577,0.237304688,0.2,0.2,0.548828125,0.448828125,0.865820313,0.406054688,822.265625,0.308,7.5,72.5390625,0.3,0.3,0.3,0.3,7.11328125,11.16666667,8.0234375,13.1953125,23.671875,20,25,0.925273438,4.02734375,2.70703125,2.119576424,4683.647167,7014.940501,81001.22033,142452.0991,57.71848184
Shape1_324,1708.05,3,5961.493045,3,637.3576873,300,569.35,373.2284111,1735441957,0.209179688,0.2,0.2,0.567578125,0.480078125,0.893945313,0.359179688,891.015625,0.314,7.5,70.6640625,0.3,0.3,0.3,0.3,7.67578125,11.66666667,9.6484375,10.5703125,19.421875,20,25,0.945898438,3.33984375,3.01953125,3.152958916,2827.867395,5543.119131,71561.1234,120118.847,70.32513509
Shape1_307,1488.63,3,5486.415334,3,726.8863634,300,496.21,259.4002928,1683313504,0.234960938,0.2,0.2,0.409765625,0.456640625,0.741601563,0.338085938,955.078125,0.38,7.5,84.2578125,0.3,0.3,0.3,0.3,7.87890625,11,8.0546875,10.9765625,18.984375,20,25,0.969804688,3.79296875,2.69140625,4.540227213,1682.996975,4318.062892,82291.26891,120117.4998,80.68996315
Shape1_375,1149.36,3,4137.24775,3,452.4838763,300,574.68,242.3533148,1399359922,0.157617188,0.2,0.2,0.539453125,0.470703125,0.842382813,0.354492188,975.390625,0.403,7.5,107.2265625,0.3,0.3,0.3,0.3,8.58203125,11.33333333,8.9609375,13.5078125,21.546875,20,25,0.935585938,3.43359375,3.42578125,4.19302653,1754.923185,3607.998204,59205.00788,90811.07215,79.01012055
Shape1_374,885.44,3,2744.518678,3,555.1043084,300,221.36,195.1950736,972624109.8,0.207617188,0.2,0.2,0.439453125,0.570703125,0.992382813,0.504492188,875.390625,0.338,7.5,77.2265625,0.3,0.3,0.3,0.3,7.58203125,12.33333333,6.9609375,11.5078125,17.546875,20,25,0.965585938,4.43359375,4.42578125,3.281999829,1651.152017,2222.522838,37043.87698,56513.17705,63.82496504
Shape1_354,920.82,3,3055.612255,3,487.0720177,300,306.94,227.3604223,1018652587,0.198242188,0.2,0.2,0.545703125,0.426953125,0.983007813,0.420117188,881.640625,0.442,7.5,86.6015625,0.3,0.3,0.3,0.3,7.39453125,11.5,9.8359375,10.6328125,18.296875,20,25,0.941210938,2.99609375,2.61328125,4.953415236,1374.494335,3177.450252,57545.68992,85380.15413,92.72187195
Shape1_325,2211.56,3,8824.644117,3,1155.423644,300,552.89,385.056261,2516335813,0.159179688,0.2,0.2,0.467578125,0.580078125,0.743945313,0.509179688,991.015625,0.317,7.5,100.6640625,0.3,0.3,0.3,0.3,8.67578125,12.66666667,7.6484375,12.5703125,23.421875,20,25,0.975898438,4.33984375,4.01953125,3.170577169,3782.663222,6240.626199,85652.62261,140320.5081,63.4486553
Shape1_300,879.6,3,2939.445081,3,632.8006039,300,219.9,168.6042986,1101358903,0.200585938,0.2,0.2,0.516015625,0.450390625,0.844726563,0.553710938,998.828125,0.341,7.5,108.6328125,0.3,0.3,0.3,0.3,7.44140625,11.16666667,6.4296875,10.6015625,18.734375,20,25,0.964179688,3.73046875,2.62890625,3.661801883,1264.105752,2000.218644,42125.79111,59647.70643,67.81230835
Shape1_387,2094.9,3,7810.868168,3,1279.675282,300,418.98,330.8686425,2305668625,0.175195313,0.2,0.2,0.594921875,0.507421875,0.702929688,0.353320313,890.234375,0.276,7.5,106.0546875,0.3,0.3,0.3,0.3,8.52734375,11.16666667,6.8828125,10.7109375,19.640625,20,25,0.973320313,4.42578125,2.62109375,3.09354232,2563.556365,5094.290973,85108.37526,129734.3642,61.92866685
Shape1_386,1386.03,3,4474.820956,3,566.6278122,300,462.01,270.1130244,1530848402,0.225195313,0.2,0.2,0.494921875,0.407421875,0.852929688,0.503320313,990.234375,0.373,7.5,76.0546875,0.3,0.3,0.3,0.3,7.52734375,12.16666667,8.8828125,12.7109375,23.640625,20,25,0.943320313,3.42578125,3.62109375,2.841184357,2681.711672,4642.222949,52477.88845,93143.76149,67.20183653
Shape1_358,940.74,3,3474.491486,3,546.9451618,300,313.58,248.2236804,1090953639,0.160742188,0.2,0.2,0.420703125,0.551953125,0.870507813,0.307617188,956.640625,0.328,7.5,64.1015625,0.3,0.3,0.3,0.3,8.64453125,11.33333333,6.3359375,11.1328125,23.296875,20,25,0.948710938,2.74609375,3.36328125,4.127022641,1284.094954,1985.89258,46887.95738,64284.37638,68.33383972
Shape1_357,1446.44,3,4980.613638,3,542.9508323,300,723.22,199.2007954,1524257090,0.235742188,0.2,0.2,0.470703125,0.501953125,0.945507813,0.532617188,806.640625,0.431,7.5,79.1015625,0.3,0.3,0.3,0.3,7.14453125,11.16666667,7.3359375,12.1328125,21.296875,20,25,0.963710938,3.24609375,3.86328125,4.500110249,1553.011737,3911.838365,76062.99917,110330.7032,76.27741438
Shape1_336,944.84,3,3031.977387,3,483.3131122,300,236.21,322.3427097,982587324.6,0.199804688,0.2,0.2,0.473828125,0.523828125,0.903320313,0.593554688,897.265625,0.395,7.5,65.0390625,0.3,0.3,0.3,0.3,7.36328125,11.33333333,6.5234375,11.6953125,16.671875,20,25,0.977773438,3.77734375,3.95703125,3.741340087,2653.508741,1913.967943,46220.66674,62987.02592,66.66422455
Shape1_326,1489.72,3,4827.042884,3,636.9096251,300,372.43,380.7263888,1509508411,0.234179688,0.2,0.2,0.417578125,0.530078125,0.818945313,0.434179688,841.015625,0.293,7.5,115.6640625,0.3,0.3,0.3,0.3,7.17578125,11.16666667,6.6484375,11.5703125,21.421875,20,25,0.930898438,3.83984375,2.51953125,2.73032793,2799.148975,3287.858948,59414.99444,88216.63882,59.21692588
Shape1_314,1910.8,3,6445.219163,3,834.0449569,300,477.7,369.5003565,1980667466,0.166210938,0.2,0.2,0.572265625,0.494140625,0.910351563,0.394335938,942.578125,0.321,7.5,73.0078125,0.3,0.3,0.3,0.3,7.00390625,11.16666667,6.3046875,10.7265625,23.484375,20,25,0.943554688,3.66796875,3.81640625,3.100674395,2367.209468,4265.214488,72687.59803,110050.8769,57.59413698
Shape1_389,1362.14,3,4227.421922,3,507.9631567,300,681.07,139.9925343,1550332586,0.187695313,0.2,0.2,0.519921875,0.532421875,0.890429688,0.315820313,915.234375,0.414,7.5,83.5546875,0.3,0.3,0.3,0.3,7.77734375,12.5,6.3828125,10.2109375,16.640625,20,25,0.950820313,2.67578125,2.87109375,4.515293907,983.3192892,3390.82328,78559.48417,108263.0961,79.48015337
Shape1_388,1169.24,3,4213.373879,3,674.1562021,300,292.31,311.630306,1254007809,0.237695313,0.2,0.2,0.419921875,0.432421875,0.740429688,0.465820313,815.234375,0.297,7.5,113.5546875,0.3,0.3,0.3,0.3,8.77734375,11.5,8.3828125,12.2109375,20.640625,20,25,0.920820313,3.67578125,3.87109375,2.842898734,2736.432665,3172.885914,45375.62731,73170.10792,62.57920351
Shape1_360,1047.8,3,3542.465108,3,642.5191872,300,209.56,342.4203703,1177720235,0.179492188,0.2,0.2,0.433203125,0.464453125,0.739257813,0.551367188,969.140625,0.34,7.5,82.8515625,0.3,0.3,0.3,0.3,8.01953125,11.16666667,6.5859375,13.8828125,21.796875,20,25,0.929960938,3.12109375,3.48828125,2.844491253,3275.331533,2285.255115,43880.37889,63899.2137,60.98417035
