File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape0_713,3201.8,3.6376953125,11647.1750528,5,1126.87684611247,640.36,640.36,998.992517224243,3243720528.17348,0.16416015625,0.21240234375,0.16025390625,0.5138671875,0.5419921875,0.98740234375,0.45615234375,958.3984375,0.277,6.8994140625,112.91015625,0.442578125,0.453515625,0.494921875,0.488671875,7.9951171875,10,6.80859375,10.54296875,17.1171875,20,25,0.93810546875,4.228515625,3.822265625,10590.0613268476,6352.3007682198,6371.1965102523,138729.453286738,194541.134716548,60.7599271399051
Shape0_771,1170.96,3.9990234375,4682.6963624,3,761.266506162466,390.32,390.32,244.328053061431,1391392013.99484,0.24482421875,0.22939453125,0.15029296875,0.5900390625,0.4822265625,0.92822265625,0.54228515625,876.7578125,0.379,8.3583984375,109.27734375,0.302734375,0.180859375,0.286328125,0.220703125,7.7900390625,11.6666666666667,8.03515625,13.17578125,19.2578125,20,25,0.94595703125,4.130859375,3.099609375,5595.1339845887,1726.0378841943,3025.6139873062,67593.0600991005,94097.4386279029,80.3592254457051
Shape0_770,3323.5,3.4990234375,11629.006264,5,1350.57011190358,664.7,664.7,666.617488620223,3383626363.84434,0.19482421875,0.17939453125,0.20029296875,0.4900390625,0.5822265625,0.77822265625,0.39228515625,976.7578125,0.273,6.8583984375,79.27734375,0.102734375,0.380859375,0.486328125,0.420703125,7.2900390625,11.3333333333333,6.03515625,11.17578125,23.2578125,20,25,0.97595703125,3.130859375,4.099609375,8429.2041639821,5158.9926278053,6883.6977959149,107273.628035998,167574.820728212,50.421188725203
Shape0_742,1845.12,3.0908203125,5702.9337984,3,913.180842784752,615.04,615.04,236.604216328956,1960879128.81765,0.21884765625,0.17646484375,0.15244140625,0.4857421875,0.4201171875,0.78583984375,0.58271484375,811.5234375,0.333,6.3837890625,106.34765625,0.436328125,0.172265625,0.151171875,0.107421875,7.6044921875,11.3333333333333,9.24609375,10.85546875,18.9921875,20,25,0.94654296875,4.322265625,2.853515625,5030.965687611,2874.9792394161,6066.2131613101,70872.9103118596,124012.937604936,67.2113128712149
Shape0_730,3042.64,3.1064453125,9451.7938148,4,957.962010452915,760.66,760.66,412.850020835391,3085107353.68719,0.16728515625,0.16552734375,0.18212890625,0.4076171875,0.5107421875,0.88427734375,0.55927734375,977.1484375,0.272,6.4306640625,92.28515625,0.405078125,0.166015625,0.282421875,0.351171875,7.3388671875,11.3333333333333,7.68359375,11.91796875,19.3671875,20,25,0.96623046875,2.666015625,4.134765625,5326.7228321463,6302.7565098504,8867.0696051643,81129.8348418712,158805.36458311,52.1932810267105
Shape0_714,2335.17,3.3876953125,7910.8476251,3,1014.14506291859,778.39,778.39,374.946080308339,2466299722.77181,0.18916015625,0.23740234375,0.23525390625,0.5638671875,0.5919921875,0.91240234375,0.53115234375,908.3984375,0.349,7.6494140625,67.91015625,0.342578125,0.153515625,0.394921875,0.188671875,7.7451171875,11.3333333333333,9.80859375,13.54296875,23.1171875,20,25,0.92310546875,2.728515625,3.322265625,6561.8163749216,4048.3066942998,7751.3467105439,88137.6082409856,156039.40542535,66.8214328829808
Shape0_795,1905.12,3.8427734375,7320.9427452,4,1285.52274212389,476.28,476.28,263.883176374963,2105517878.75078,0.16669921875,0.18876953125,0.24716796875,0.5712890625,0.5759765625,0.91884765625,0.42041015625,820.5078125,0.33,7.7021484375,92.40234375,0.115234375,0.418359375,0.273828125,0.108203125,7.5712890625,11,6.66015625,12.55078125,20.5078125,20,25,0.94033203125,3.568359375,4.037109375,7532.4763055813,1856.5691705064,4522.9559725434,90274.2143558541,129895.308675334,68.1822187974166
Shape0_794,2254.62,3.3427734375,7536.6836128,3,990.109247339537,751.54,751.54,485.257264671821,2392247542.31731,0.21669921875,0.23876953125,0.19716796875,0.4712890625,0.4759765625,0.76884765625,0.57041015625,920.5078125,0.314,6.2021484375,62.40234375,0.315234375,0.218359375,0.473828125,0.308203125,7.0712890625,12,8.66015625,10.55078125,16.5078125,20,25,0.97033203125,2.568359375,3.037109375,6817.8370346572,4883.4852991229,7070.4085549402,98469.252418742,160406.031360018,71.1454840993241
Shape0_769,1582.44,3.7490234375,5932.6044836,3,897.613146800234,527.48,527.48,295.475973322562,1840489021.4608,0.16982421875,0.15439453125,0.17529296875,0.4400390625,0.5322265625,0.70322265625,0.31728515625,926.7578125,0.352,7.6083984375,94.27734375,0.202734375,0.280859375,0.386328125,0.120703125,7.0400390625,12,9.03515625,12.17578125,17.2578125,20,25,0.96095703125,3.630859375,2.599609375,6129.0050299173,2344.4495124529,5326.4391823787,81180.5423507414,127840.149588379,80.7867278306784
Shape0_768,1010.72,3.2490234375,3283.8520212,4,567.642423946039,252.68,252.68,308.813920464356,1033423883.3997,0.21982421875,0.20439453125,0.22529296875,0.5400390625,0.4322265625,0.85322265625,0.46728515625,826.7578125,0.325,6.1083984375,64.27734375,0.402734375,0.480859375,0.186328125,0.320703125,7.5400390625,11,7.03515625,10.17578125,21.2578125,20,25,0.93095703125,2.630859375,3.599609375,3629.0854120951,1875.4257139603,2244.6858421476,46874.9684467397,66538.4164239527,65.8326899872889
