File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape1_605,3163,3.5771484375,11314.519124,5,1170.46022128893,632.6,632.6,645.081944547565,3183222967.40515,0.16845703125,0.20888671875,0.17138671875,0.5345703125,0.5501953125,0.84970703125,0.59150390625,929.4921875,0.299,8.3583984375,113.49609375,0.408984375,0.443359375,0.275390625,0.291015625,8.419921875,12.3333333333333,9.57421875,10.05859375,19.5703125,20,25,0.97490234375,4.048828125,2.818359375,7731.8241723967,8231.0673112748,11384.1009787951,122030.378580881,221755.103155126,70.1091062773084
Shape1_685,1526.4,3.3154296875,5060.672352,2,531.243609370929,763.2,763.2,201.518254317574,1733739885.38696,0.16103515625,0.24208984375,0.15927734375,0.4556640625,0.5900390625,0.81806640625,0.48251953125,917.7734375,0.406,7.8310546875,92.16796875,0.229296875,0.210546875,0.342578125,0.317578125,7.724609375,11.6666666666667,8.02734375,12.73046875,16.7265625,20,25,0.94513671875,3.306640625,2.888671875,5831.355734653,1751.8055797724,4301.1579866896,75870.9468731845,113549.090836585,74.3901276445135
Shape1_651,1415.01,3.4873046875,4934.5690897,3,539.028482664223,471.67,471.67,369.931720031621,1515048968.42796,0.24384765625,0.19052734375,0.22958984375,0.4337890625,0.5431640625,0.75712890625,0.54345703125,908.3984375,0.309,6.3779296875,109.98046875,0.448046875,0.466796875,0.436328125,0.273828125,7.443359375,11.3333333333333,8.46484375,12.54296875,17.6015625,20,25,0.94232421875,2.900390625,3.482421875,4018.6009199234,3887.1806154512,4214.9876334886,59307.6659145805,96230.9575839406,68.0072632588749
Shape1_650,646.76,3.9873046875,2578.8293818,4,561.780308918533,161.69,161.69,249.76114231882,766705142.952712,0.19384765625,0.24052734375,0.17958984375,0.5337890625,0.4431640625,0.90712890625,0.39345703125,808.3984375,0.403,7.8779296875,79.98046875,0.248046875,0.266796875,0.236328125,0.473828125,8.443359375,10.3333333333333,6.46484375,10.54296875,21.6015625,20,25,0.97232421875,3.900390625,4.482421875,3819.7124653898,951.9325919408,1161.5387496798,42130.7874761834,52305.8669233785,80.8736887305623
Shape1_634,700.11,3.2490234375,2274.6737259,3,395.762498341511,233.37,233.37,209.850256326359,761558254.096339,0.17626953125,0.21044921875,0.19169921875,0.4501953125,0.4033203125,0.90126953125,0.35244140625,845.1171875,0.466,8.8740234375,73.18359375,0.415234375,0.487109375,0.394140625,0.147265625,7.638671875,12.1666666666667,7.88671875,12.24609375,22.6953125,20,25,0.94208984375,2.642578125,4.287109375,3438.1790986636,1230.2994412166,1990.5637610973,40661.7731798883,58099.1117271007,82.9856904302191
Shape1_619,1359.22,3.0927734375,4203.7616355,2,395.813609190892,679.61,679.61,252.944185042479,1426144887.92728,0.17939453125,0.22607421875,0.20732421875,0.5814453125,0.5220703125,0.77939453125,0.30556640625,813.8671875,0.412,7.4677734375,112.55859375,0.302734375,0.474609375,0.481640625,0.334765625,7.576171875,12.1666666666667,9.26171875,10.62109375,20.4453125,20,25,0.94396484375,3.455078125,4.474609375,5305.0896996047,1811.3270349995,4853.151350212,64671.1964499402,107184.802277797,78.8575817585066
Shape1_604,770.43,3.0771484375,2370.7286745,3,390.825294023942,256.81,256.81,213.906702906608,815095911.64828,0.21845703125,0.15888671875,0.22138671875,0.4345703125,0.4501953125,0.99970703125,0.44150390625,829.4921875,0.383,6.8583984375,83.49609375,0.208984375,0.243359375,0.475390625,0.491015625,7.419921875,11.3333333333333,7.57421875,12.05859375,23.5703125,20,25,0.94490234375,3.048828125,3.818359375,2727.3560719293,1480.1376714346,1867.9192489508,34008.9497539562,50371.9223747653,65.3815692207796
Shape1_658,653.1,3.1435546875,2053.0557705,2,346.497791896958,326.55,326.55,114.868094014335,790229731.642375,0.20322265625,0.23115234375,0.22646484375,0.5650390625,0.5244140625,0.93525390625,0.32783203125,864.6484375,0.434,7.0341796875,111.85546875,0.210546875,0.154296875,0.273828125,0.386328125,8.630859375,12.3333333333333,6.58984375,12.41796875,18.8515625,20,25,0.94044921875,4.337890625,3.169921875,3170.2920521024,760.4508761742,1628.1570740777,38742.921330063,53005.5772989837,81.1599713657689
Shape1_657,1463.61,3.8935546875,5698.6435942,3,809.651154198969,487.87,487.87,257.760488803842,1683899314.68055,0.17822265625,0.20615234375,0.20146484375,0.5150390625,0.5744140625,0.86025390625,0.55283203125,914.6484375,0.344,7.7841796875,96.85546875,0.110546875,0.454296875,0.173828125,0.286328125,7.130859375,10.1666666666667,7.58984375,11.41796875,16.8515625,20,25,0.95544921875,3.837890625,3.669921875,5977.3471192364,1905.0737724085,3630.9878849704,73654.2155857489,105461.66945809,72.0558546730957
Shape1_636,1502.8,3.6240234375,5446.181013,4,828.087832866632,375.7,375.7,333.524533396287,1705615190.69855,0.18876953125,0.22294921875,0.17919921875,0.4251953125,0.4283203125,0.71376953125,0.31494140625,970.1171875,0.315,6.9990234375,95.68359375,0.265234375,0.237109375,0.344140625,0.297265625,8.888671875,11.3333333333333,7.38671875,12.74609375,21.6953125,20,25,0.93458984375,4.392578125,4.037109375,4740.0089141885,2603.68817348,3774.3409763084,59838.7746401472,92902.0015926087,61.8192717544642
Shape1_620,1368.87,3.2177734375,4404.7133828,3,566.725402725301,456.29,456.29,271.982166020608,1464843247.457,0.24189453125,0.18857421875,0.16982421875,0.4064453125,0.4470703125,0.81689453125,0.49306640625,888.8671875,0.347,7.0927734375,105.05859375,0.352734375,0.424609375,0.231640625,0.284765625,7.826171875,12.5,7.76171875,12.12109375,19.4453125,20,25,0.95146484375,2.705078125,3.224609375,4187.6400923542,2652.7580766384,3931.0637738038,57826.929772223,92263.0484307443,67.4008842554401
Shape1_607,1928.16,3.8271484375,7379.357544,3,863.220567559651,642.72,642.72,302.236065495799,2140223806.78527,0.19345703125,0.18388671875,0.24638671875,0.4845703125,0.4001953125,0.92470703125,0.51650390625,979.4921875,0.321,7.6083984375,68.49609375,0.108984375,0.343359375,0.375390625,0.191015625,8.919921875,11.1666666666667,6.57421875,11.05859375,21.5703125,20,25,0.95990234375,2.548828125,3.318359375,7140.08196623,2632.0427919259,4663.744060304,87759.9175998237,128614.315568087,66.7031343706366
Shape1_681,871.6,3.6904296875,3216.578788,2,431.286287967138,435.8,435.8,185.0732835554,1026744318.29818,0.19853515625,0.15458984375,0.24677734375,0.5806640625,0.4150390625,0.70556640625,0.59501953125,842.7734375,0.402,7.4560546875,114.66796875,0.179296875,0.360546875,0.292578125,0.367578125,8.474609375,12.5,7.52734375,13.23046875,21.7265625,20,25,0.93763671875,3.056640625,3.138671875,3346.2435013701,1976.9505023794,2375.4403000384,44083.7429295914,64892.5999579278,74.4522716359888
Shape1_680,1434.4,3.1904296875,4576.352792,4,734.075110750879,358.6,358.6,331.628424265057,1559446369.58169,0.24853515625,0.20458984375,0.19677734375,0.4806640625,0.5150390625,0.85556640625,0.44501953125,942.7734375,0.405,8.9560546875,84.66796875,0.379296875,0.160546875,0.492578125,0.167578125,7.474609375,11.5,9.52734375,11.23046875,17.7265625,20,25,0.96763671875,4.056640625,4.138671875,5755.1913659928,2469.9940682229,4453.7365726769,68768.2574074111,107782.989784061,75.1415154657423
Shape1_656,2047.64,3.3935546875,6948.7789602,4,791.292319193956,511.91,511.91,449.158285161831,1898888051.26552,0.22822265625,0.15615234375,0.15146484375,0.4150390625,0.4744140625,0.71025390625,0.40283203125,814.6484375,0.279,6.2841796875,66.85546875,0.310546875,0.254296875,0.373828125,0.486328125,8.130859375,11.1666666666667,9.58984375,13.41796875,20.8515625,20,25,0.92544921875,2.837890625,2.669921875,3527.9312061878,5146.8869876,7006.1033523882,64990.0565633706,126363.521930291,61.711786217446
Shape1_655,861.7,3.6123046875,3112.7232185,2,467.805532463787,430.85,430.85,159.888953110485,1019909056.73127,0.20634765625,0.20302734375,0.16708984375,0.5087890625,0.4681640625,0.79462890625,0.50595703125,833.3984375,0.446,8.2529296875,102.48046875,0.398046875,0.116796875,0.186328125,0.223828125,8.693359375,11.3333333333333,7.96484375,13.04296875,20.6015625,20,25,0.94982421875,2.650390625,2.732421875,4120.3801181496,1047.3615810765,2324.3783862869,50566.5739933588,70928.128657232,82.3118587179204
Shape1_637,771.66,3.1240234375,2410.6851315,2,316.824294728426,385.83,385.83,183.849334161049,853449653.510942,0.23876953125,0.17294921875,0.22919921875,0.5251953125,0.5283203125,0.86376953125,0.46494140625,870.1171875,0.492,8.4990234375,65.68359375,0.465234375,0.437109375,0.144140625,0.497265625,7.888671875,12.3333333333333,9.38671875,10.74609375,17.6953125,20,25,0.96458984375,3.392578125,3.037109375,3779.9749396617,1293.1694584304,2636.4555280309,47391.6176671312,70486.9680926819,91.3445922980094
Shape1_621,2230.8,3.7177734375,8293.6102392,5,1090.92000632655,446.16,446.16,524.133291557443,2372406557.87949,0.19189453125,0.23857421875,0.21982421875,0.5064453125,0.5470703125,0.96689453125,0.34306640625,988.8671875,0.327,8.5927734375,75.05859375,0.152734375,0.224609375,0.431640625,0.484765625,8.826171875,11.5,9.76171875,10.12109375,23.4453125,20,25,0.92146484375,3.705078125,4.224609375,8139.9326957127,3603.1815809181,7338.676417762,98245.7260813567,162532.531500952,72.8584057293131
Shape1_615,2234.82,3.5302734375,7889.5254508,3,716.165974454883,744.94,744.94,442.287551377635,2170368907.14862,0.18564453125,0.23232421875,0.20107421875,0.4189453125,0.5595703125,0.76064453125,0.47431640625,851.3671875,0.314,7.2802734375,78.80859375,0.177734375,0.449609375,0.456640625,0.459765625,7.701171875,11,6.51171875,13.37109375,16.9453125,20,25,0.94771484375,4.330078125,3.849609375,6367.0633662259,4179.0466765712,5159.8797274657,86421.4342317242,131621.980644324,58.8960098103309
Shape1_689,2782.36,3.4091796875,9485.5660648,4,965.635630901709,695.59,695.59,479.963293057343,2688783254.4193,0.20166015625,0.16396484375,0.19990234375,0.5244140625,0.5462890625,0.84619140625,0.49189453125,886.5234375,0.298,7.5498046875,82.79296875,0.166796875,0.473046875,0.205078125,0.480078125,8.662109375,11.5,7.40234375,11.85546875,18.9765625,20,25,0.96576171875,2.744140625,4.451171875,7116.6933586551,5020.1344667147,7252.6175981809,93869.9267702767,157402.856930341,56.5717078057266
Shape1_688,599.1,3.9091796875,2341.989738,2,366.673549139966,299.55,299.55,180.672889076987,805220957.655605,0.15166015625,0.21396484375,0.24990234375,0.4244140625,0.4462890625,0.99619140625,0.34189453125,986.5234375,0.359,6.0498046875,112.79296875,0.366796875,0.273046875,0.405078125,0.280078125,7.662109375,12.5,9.40234375,13.85546875,22.9765625,20,25,0.93576171875,3.744140625,3.451171875,2768.8020578598,1076.0951536295,1901.960555586,33499.2397349003,50160.4142018337,83.7262797560235
Shape1_654,1860.08,3.1123046875,5789.1362844,4,725.967083078399,465.02,465.02,355.656247866433,1872467025.16874,0.15634765625,0.15302734375,0.21708984375,0.4087890625,0.5681640625,0.94462890625,0.35595703125,933.3984375,0.305,6.7529296875,72.48046875,0.198046875,0.316796875,0.386328125,0.423828125,7.693359375,12.3333333333333,9.96484375,11.04296875,16.6015625,20,25,0.97982421875,3.650390625,3.732421875,4489.7458227106,4042.5118569964,7009.1804329682,64630.2952769988,126030.7158698,67.755535175799
